cell_id	state	mean	sd	lower	upper
Cell000029	inflammatory	0.115028942994095	0.050453593229926	0.0656117405061737	0.179243189135676
Cell000030	inflammatory	0.135361827981654	0.0499238452467591	0.0823171331923231	0.201579313508075
Cell000031	inflammatory	0.195037368133469	0.0290116064374296	0.166213286206648	0.231416342714631
Cell000032	inflammatory	0.334630611413658	0.0224580485949016	0.316810126653022	0.368721234045857
Cell000033	inflammatory	0.22037529275808	0.067707784471429	0.134451227579791	0.305980472405769
Cell000034	inflammatory	0.0318515528883645	0.0522294589639772	0.00450574100826337	0.114074095702611
Cell000035	inflammatory	0.0281196329937265	0.0210450022878536	0.0115140423306605	0.0501145380715562
Cell000036	inflammatory	0.405741353404897	0.0795501078446734	0.310036519657655	0.485177309747243
Cell000037	inflammatory	0.284403533428897	0.0284549840507579	0.248373341362053	0.311282498732722
Cell000038	inflammatory	0.286807956314274	0.0404778203051982	0.233516648389697	0.341847393620213
Cell000039	inflammatory	0.454665358272247	0.0615164320177139	0.365641332071857	0.505462969268094
Cell000040	inflammatory	0.314397703833208	0.0136415840762726	0.299888593311059	0.324018165917767
Cell000001	myofibroblast	0.095092161258664	0.0406442103962901	0.0627832597467132	0.152110731255297
Cell000002	myofibroblast	0.0989468275177316	0.0138730798572824	0.083632499906065	0.121123620016191
Cell000003	myofibroblast	0.218682812736243	0.040910171195518	0.169775430645576	0.260260355657853
Cell000004	myofibroblast	0.0301949285488479	0.0315253305598974	0.00809166465272515	0.0745479453902952
Cell000005	myofibroblast	0.0487441830710429	0.0224580373246102	0.0205762082003884	0.0811473788104128
Cell000006	myofibroblast	0.109726879094705	0.0728736969718841	0.0651438665272073	0.254090327280441
Cell000007	myofibroblast	0.082527959644933	0.0271054108444344	0.054698609117449	0.122029469036492
Cell000008	myofibroblast	0.0666312188060783	0.0348978573907379	0.0307598281595865	0.118098921061135
Cell000009	myofibroblast	0.115904599522703	0.0292609179254291	0.0823087913652248	0.151742319089178
Cell000010	myofibroblast	0.274746997751433	0.0172051411288575	0.262845127351129	0.299550038367974
Cell000011	myofibroblast	0.224726362218261	0.0232996403377653	0.20268993948173	0.251324090610503
Cell000012	myofibroblast	0.19807744552989	0.0273721308490071	0.162508643985468	0.221894827163015
Cell000013	myofibroblast	0.20453173177949	0.0161004476370864	0.189348488329377	0.223655103790794
Cell000014	myofibroblast	0.191369287551714	0.0350765156079543	0.156727648815605	0.24005355728049
Cell000015	myofibroblast	0.0357313013696118	0.0290080215011468	0.00171373172855771	0.080308265835996
Cell000016	myofibroblast	0.237811514066334	0.0792263573424792	0.17344311142674	0.330735881828764
Cell000017	myofibroblast	0.17796509878705	0.0323024556092916	0.14566273717664	0.206632746906453
Cell000018	myofibroblast	0.128640729958037	0.017926317541036	0.116598700297816	0.140682759618259
Cell000019	myofibroblast	0.189519276235459	0.0279001875638643	0.166693463862591	0.224056596068603
Cell000020	myofibroblast	0.25999994604201	0.0296463303406915	0.24008498088187	0.279914911202149
Cell000021	myofibroblast	0.187610292903019	0.0480640860670768	0.138027885938507	0.24234264669025
Cell000022	myofibroblast	0.479574477683535	0.0366118213365142	0.411758967458645	0.508440563301375
Cell000023	myofibroblast	0.26295673305931	0.0197881637533953	0.235878392867499	0.279004360711498
Cell000024	myofibroblast	0.331531990234856	0.0629992975500331	0.261415780076181	0.404078597964595
Cell000025	myofibroblast	0.0681673253179358	0.0315500839109925	0.0388088390981749	0.11060376354944
Cell000026	myofibroblast	0.0250994959814712	0.0225631078839217	0.0152656820729479	0.0732096765961492
Cell000027	myofibroblast	0.13484961546839	0.0212784091243184	0.108852317645314	0.156969541458357
Cell000028	myofibroblast	0.155474649457113	0.0342495307527593	0.11583958484388	0.192604606492384
Cell000029	myofibroblast	0.268551786924323	0.0857778404673296	0.193048546527592	0.36193798404262
Cell000030	myofibroblast	0.292242787855949	0.033556537600293	0.257955026490194	0.344763199291517
Cell000031	myofibroblast	0.375106149334046	0.0370465991751467	0.339973374859596	0.420509225794885
Cell000032	myofibroblast	0.196847490626203	0.0119849445331817	0.185127110207063	0.209217078149397
Cell000033	myofibroblast	0.0592222695701259	0.0412713404246542	0.0174164663120334	0.130255391310131
Cell000034	myofibroblast	0.363569383532287	0.0865087488518583	0.272484487411049	0.454449556105471
Cell000035	myofibroblast	0.27760458791255	0.0300197010661567	0.258648502458884	0.309700269926124
Cell000036	myofibroblast	0.254601139239886	0.0879242204162954	0.182142526703979	0.363905572297262
Cell000037	myofibroblast	0.364267096482766	0.0168175772433913	0.33955955595212	0.377727229016041
Cell000038	myofibroblast	0.285286003408257	0.0498060421399832	0.232625681745348	0.357104290520864
Cell000039	myofibroblast	0.0649590884318912	0.0650599364391808	0.00593811286866326	0.134829722037742
Cell000040	myofibroblast	0.30338980992465	0.0343721068562568	0.277012051994171	0.339526791423226
Cell000001	ECM-remodeling	0.315550968726711	0.0888664296022929	0.198306191505724	0.399440964785137
Cell000002	ECM-remodeling	0.398271596028465	0.0269703806686009	0.347675897207606	0.414853760145103
Cell000003	ECM-remodeling	0.24748800151402	0.0535543244403771	0.143753804823392	0.282423943528949
Cell000004	ECM-remodeling	0.322656074745968	0.0490919113965332	0.252290680471673	0.360503244186632
Cell000005	ECM-remodeling	0.147668177664635	0.0571093715566058	0.0955941503815177	0.203818329134176
Cell000006	ECM-remodeling	0.0687000050744593	0.04613340709736	0.00726791182879758	0.136018967510904
Cell000007	ECM-remodeling	0.162411104919891	0.0384093877586665	0.0985063791598711	0.196085552614524
